Descripcion,cateogira,precio final,,,,569,electro
HP 971 MAGENTA VENC CN623AM P/HPX451XD/X476DW,impresion,4.15701,,,,,
HP ADAPTER PHOTOSMART M KIT L1815A,accesorios,90.36027,,,,,
HP ADF PAQUETE DE PA�OS DE LIMPIEZA C 9943B,impresion,3.3275,,,,,
HP BANDEJA P/SOBRES C8053A HP4100 LASER,impresion,445.45644,,,,,
HP DLT Cleaning Cartridge  C5142A,accesorios,70.973045,,,,,
HP DLT IIIXT 30/60GB C5141A,accesorios,1.43748,,,,,
HP DLT VS160 Cleaning Cartridge C8016A,accesorios,78.30273,,,,,
HP DRIVE 1.44MB DL360G4 DL580G3 KIT,accesorios,14.938495,,,,,
HP INFRA C3277A P/HP 340C,accesorios,102.76651,,,,,
HP SIST DE TINTA NEGRA UV DESINGJET 410ML C1892A,impresion,388.145615,,,,,
HP TONER 92275A (HP 3P) VENCIDO,impresion,16.6375,,,,,
HP TONER 92291A (HP IIISI/4SI/4SIMX),impresion,16.6375,,,,,
HP TONER 92295A (HP 3) VENCIDO,impresion,16.6375,,,,,
HP TONER C3102A CIAN P/HP 5/5M/5N,impresion,22.7601,,,,,
HP TONER C3104A ROJO LASERJET COLOR,impresion,22.7601,,,,,
HP TONER C4149A NEGRO P/HP 8500/8550 VENCIDO,impresion,16.6375,,,,,
HP TONER C4150A CIAN P/HP 8500/8550,impresion,22.7601,,,,,
HP TONER C4152A AMARILLO P/HP 8500/8550,impresion,22.7601,,,,,
HP TONER C4193A MAGENTA P/HP 4500/4550 VENCIDO,impresion,16.6375,,,,,
HP TONER C4194A AMARILLO P/HP 4500/4550,impresion,22.7601,,,,,
HP TONER C9701A CIAN P/HP 1500L/2500,impresion,16.6375,,,,,
HP TONER C9702A AMARILLO P/HP 1500L/2500,impresion,22.7601,,,,,
HP TONER C9703A MAGENTA P/ HP 1500L/2500,impresion,22.7601,,,,,
HP TONER HP C8552A AMARILLO P/HP 9500,impresion,22.7601,,,,,
HP TONER Q2672A AMARILLO P/HP 3500/3550,impresion,22.7601,,,,,
HP TONER Q2681A CIAN P/HP 3700,impresion,16.6375,,,,,
HP TONER Q2682A AMARILLO P/HP 3700,impresion,22.7601,,,,,
HP TONER Q2683A MAGENTA P/HP 3700 (CAJA DA�ADA),impresion,6.655,,,,,
HP TONER Q3972A AMARILLO P/HP 2550/2820/2840,impresion,16.6375,,,,,
HP TONER Q6473A MAGENTA P/HP 3600,impresion,22.7601,,,,,
HPE DL360 GEN10 8SFF DP/USB/ODD BLNK KIT,accesorios,120.565445,,,,,
HPE DL380 GEN10 UNIVERSAL MEDIA BAY,accesorios,195.30654,,,,,
HPE LTO-5 Ultrium RW Bar Code Label Pack X 100,accesorios,98.82015,,,,,
HPE LTO-8 30TB RW Bar Code Label Pack X 100,accesorios,98.82015,,,,,
HPE LTO-9 45000 Ext Tape Drive,accesorios,7306.674375,,,,,
HPE ML350 Gen10 Redundant Fan Cage Kit,accesorios,184.768155,,,,,
HPE ML350 GEN10 SLIMLINE ODD BAY KIT,accesorios,60.349575,,,,,
HT ACC. ANGULO INT AI 1821 MARFIL,redes,0.03993,,,,,
HT ACC. CP2735 CURVA PLA 90 MARF BOLSA X 25U,redes,2.84834,,,,,
HT ACC. DERIVACION T  PLANA C/BASE S/SEP X2U,redes,0.77198,,,,,
HT ACCESORIO ANGULO EXTERNO MARFIL BOLSA X 25U,redes,1.10473,,,,,
HT ACCESORIO ANGULO EXTERNO P/18 X 21MM - 25U,redes,1.10473,,,,,
HT ACCESORIO ANGULO EXTERNO P/20 X 10MM - X 25U,redes,1.10473,,,,,
HT ACCESORIO ANGULO EXTERNO PARA C.C 14X7 MARFIL,redes,0.03993,,,,,
HT ACCESORIO ANGULO EXTERNO PARA C.C 27X30 - 25U,redes,2.90158,,,,,
HT ACCESORIO ANGULO EXTERNO PARA C.C 40X30 - 25U,redes,3.36743,,,,,
HT ACCESORIO ANGULO INT P/20 X 10MM X 25U,redes,1.10473,,,,,
HT ACCESORIO ANGULO INTERNO P/14 X 7MM BOLSA X 25U,redes,0.98494,,,,,
HT ACCESORIO ANGULO INTERNO P/40 X 30MM -  X 25U,redes,3.36743,,,,,
HT ACCESORIO ANGULO INTERNO PARA C.C 27X30 - 25U,redes,2.90158,,,,,
HT ACCESORIO BASTIDOR P/FACE PLATE  X 10U,redes,3.1944,,,,,
HT ACCESORIO CODO C/base y tapa.  X 6U,redes,3.96638,,,,,
HT ACCESORIO CURVA PARA PISO CANAL X12,redes,3.95307,,,,,
HT ACCESORIO CURVA PLANA 90�  P/14 X 7MM X 25U,redes,0.98494,,,,,
HT ACCESORIO CURVA PLANA 90�  P/20 X10MM X 25U,redes,1.0648,,,,,
HT ACCESORIO CURVA PLANA 90� P/18X21 -  X25U,redes,1.10473,,,,,
HT ACCESORIO CURVA PLANA 90� P/30 X 40MM - X 25U,redes,3.36743,,,,,
HT ACCESORIO DERIVACION T PLANA C/BASE S/SEP,redes,0.90508,,,,,
HT ACCESORIO MODULO PORTA FACE PLATE,redes,0.62557,,,,,
HT ACCESORIO MODULO PORTA FACE PLATE CON SEPARADOR,redes,1.14466,,,,,
HT ACCESORIO P/UNIC MODULO PORTA BASTIDOR UNIVERS,redes,0.73205,,,,,
HT ACCESORIO PARA MONTAJE CUALQ.T/BASTIDOR,redes,2.7951,,,,,
HT ACCESORIO PLACA SIMPLE SCHUKO BLANCO,redes,0.34606,,,,,
HT ACCESORIO SEPARADOR ESTETICO X 25U,redes,4.41892,,,,,
HT ACCESORIO TAPA FINAL P/27X30 -  X 25U,redes,2.90158,,,,,
HT ACCESORIO TAPA TERMINACION P/20 X 10 MM - X25U,redes,1.0648,,,,,
HT ACCESORIO TAPA TERMINACION P/40 X 30 MM - X 25U,redes,3.36743,,,,,
HT ACCESORIO TAPA TERMINAL X 10U,redes,4.04624,,,,,
HT ACCESORIO UNI ANGULO EXT MOVIL 70/105�,redes,0.50578,,,,,
HT ACCESORIO UNION 12 UNIDADES,redes,3.56708,,,,,
HT ACCESORIO UNION CABLE CANAL 14MM X 7MM  X 25U,redes,0.98494,,,,,
HT ACCESORIO UNION P/20 X 10MM MARF BOLSA X 25U,redes,1.10473,,,,,
HT ACCESORIO UNION P/27X30   -  25U,redes,2.84834,,,,,
HT ACCESORIO UNION P/40 X 30 MM X 25U,redes,3.36743,,,,,
HT ACCESORIO UNION P/75 X 14MM  X4U,redes,0.65219,,,,,
HT ACCESORIO UNION PLANA P/14 X 7 MM X 25U,redes,0.98494,,,,,
HT ACCESORIO UNION T PLANA P/20 X 10 MM X 25U,redes,1.10473,,,,,
HT ACCESORIO UNION T PLANA P/27X30  X 25U,redes,2.72855,,,,,
HT ACCESORIO UNION T PLANA P/40X30  BOLSA X 25U,redes,4.73836,,,,,
HT ACCESORIOS CAJA DE DERIVACION PARA 2 FACEPLATES,redes,1.34431,,,,,
HT ANGULO INTERNO MOVIL,redes,0.67881,,,,,
HT ANGULO INTERNO MOVIL SISTEMA UNIC 100x50MM X25,redes,1.23783,,,,,
HT CABLE CANAL 27X30 MM  MARFIL VARILLA X 2 METROS,redes,0.97163,,,,,
HT CABLE CANAL 40MM X 30MM VARILLA X 2 MTS,redes,0.6655,,,,,
HT CABLECANAL 14X7 MM C/ADHESIVO VARILLA X 2 MET,redes,0.34606,,,,,
HT CABLECANAL 18X21 MM MARFIL STD VARILLA X 2 MTS,redes,0.46585,,,,,
HT CABLECANAL 18X21MM C/ADHESIVO VARILLA X 2 MTRS,redes,0.58564,,,,,
HT CABLECANAL 27X30 MM C/ADHESIVO VARILLA X 2 ME,redes,1.30438,,,,,
HT CABLECANAL MINIC.S/ADH. X TRAMO  X2 METROS,redes,0.27951,,,,,
HT CAJA DERIVACION P/BASTIDORES UNIVERSALES+BASE,redes,0.97163,,,,,
HT CAJA DERIVACION P/FACE PLATE C/BASE MARF,redes,1.15797,,,,,
HT CANAL DE PISO GRIS,redes,5.1909,,,,,
HT CURVA PLANA UNICANAL MARFIL,redes,1.42417,,,,,
HT FACE PLAT.RJ/LUC/CERR.,redes,0.67881,,,,,
HT FACE PLAT.RJ/PAN/ABIE,redes,0.69212,,,,,
HT FACE PLATE DOB. SHUKO,redes,0.30613,,,,,
HT FACE PLATE MARCO ADAPTADOR P/LINEA CAMBRE MARF,redes,0.18634,,,,,
HT FACE PLATE RJ/LUC/ABIE.,redes,0.69212,,,,,
HT FACE PLATE RJ/POU/ABIE,redes,0.69212,,,,,
HT FACE PLATE RJ/POU/CERR.,redes,0.67881,,,,,
HT FACE PLATE RJ/RWD/ABIE,redes,0.69212,,,,,
HT FACE PLATE RJ/RWD/CERR,redes,0.67881,,,,,
HT FACE PLATE SICA MARFIL,redes,0.18634,,,,,
HT FACE PLATE SICA MARFIL,redes,1.25114,,,,,
HT FACE PLATE.ADAP/PLASNAVI,redes,0.18634,,,,,
HT FACE PLATE.ADAPT/JELUZ,redes,0.18634,,,,,
HT FACE PLATE.RJ/AMP/CERR,redes,4.7916,,,,,
HT FACEPLATE TAPA CIEGA,redes,0.2662,,,,,
HT ROSETA 3 MODULOS + MARCO,redes,1.35762,,,,,
HT SEPARADOR UNICANAL PARA UNICANAL 100x50mm,redes,4.55202,,,,,
HT TAPA FINAL DE CANAL 14X7MM COLOR MARFIL X25U,redes,0.98494,,,,,
HT TAPA FINAL MARFIL ALUMINIO X 2U,redes,0.7986,,,,,
HT UNICANAL ACCESORIO UNION X 25U,redes,6.42873,,,,,
HT UNICANAL ZOCALO CANAL 100 X 50MM-VARILLA X2 MTS,redes,3.75342,,,,,
IBM 19-inch Rack Mount Kit,accesorios,21.27125,,,,,
IMPRESORA ETIQUETAS BROTHER QL-1110NW + 2 CINTAS,impresion,1026.720695,,,,,
IMPRESORA ETIQUETAS BROTHER QL-800 + 2 CINTAS,impresion,465.19616,,,,,
IMPRESORA ETIQUETAS BROTHER QL-820NBW + 2 CINTAS,impresion,725.228075,,,,,
IMPRESORA ETIQUETAS BROTHER TD-4420DN (MAX 104MM),impresion,682.661265,,,,,
IMPRESORA TERMICA OCOM 80MM USB+RS232+LAN+WIFI,electro,159.558685,,,,,
IMPRESORA TERMICA PORTATIL BROTHER  PJ723 + TRAFO,electro,823.051515,,,,,
INTEL APLBEZBLACK BEZEL STD CONTROL PANEL,accesorios,24.3573,,,,,
INTEL APP3HSDBKIT HOT SWAP ADAPTER,accesorios,30.20039,,,,,
INTEL ARIGPMKIT SC5300 CHASSIS KIT,accesorios,116.95497,,,,,
INTEL ASWFAN REDUNDANT FAN P/GABINETE SR2300,accesorios,56.08834,,,,,
INTEL AXXRACKFP PANEL CONTROL STD SR1400/2400,accesorios,27.044875,,,,,
INTEL AXXRIBBU1 BATTERY BACKUP FOR RAID,accesorios,217.3523,,,,,
INTEL BAHIA CDROM+FLOPPY SLIMLINE SR1350E,accesorios,28.66974,,,,,
INTEL FTE REDUNDANTE 500VA SR2300,accesorios,207.74248,,,,,
INTEL HOTSWAP FAN SC5300 FRIGHSFANS,accesorios,49.6463,,,,,
INTEL KIT 6HDD SCSI SR2400  ADRSIXDRIVE,accesorios,33.42141,,,,,
INTEL Kit Hot Swap SCSI AXX6SCSIDB SC5300,accesorios,231.04224,,,,,
INTEL PLACA DE RAID X (ADRPCIXRIS),accesorios,23.38567,,,,,
INTEL POWER DISTRIB BOARD FRIGPDB,accesorios,60.14789,,,,,
INTEL RAID ACTIVATION KEY AXXRAKSAS2 FOX PLTFRM,accesorios,436.62124,,,,,
INTEL RAID AXXRAK18E,accesorios,417.487785,,,,,
INTEL RAID CONTROL SCSI ULTRA 160 PCI,accesorios,237.569475,,,,,
INTEL RAID CONTROL SRCS28X,accesorios,635.84532,,,,,
INTEL RAID CONTROL SRCZCRX PCI-X,accesorios,559.506805,,,,,
INTEL RAID SMART BATTERY AXXRSBBU4 FOR SRCSASRB,accesorios,273.2543,,,,,
INTEL SAS/SATA BACKPLANE AXX6DRV3GEXP FOR SC5299,accesorios,190.12851,,,,,
INTEL SCSI BACKPLANE KIT A1450SCSIKIT FOR SR1450,accesorios,380.9377,,,,,
INTEL SCSI CABLE SERVER CHASIS SC5300,accesorios,37.94791,,,,,
INTEL SERVER SYSTEM P4304BTSSFCNR,accesorios,921.190985,,,,,
INTEL SR2400 TAPE KIT ADRTAPEKIT,accesorios,34.88485,,,,,
INTELLICAD BRICSNET ANUAL + MANUALES,accesorios,189.9337,,,,,
INTERRUPTOR SMART GRALF WIFI 16A,electro,48.0491,,,,,
INTERRUPTOR SMART GRALF WIFI RIEL DIN 32A,electro,83.030805,,,,,
INYECTOR POE PASIVO AIRLIVE,redes,8.93101,,,,,
IP CAM D-LINK DCS-6510L 11N VGA D/N PTZ EXTERIOR,camaras,158.57534,,,,,
JACK FURUKAWA RJ45 HEMBRA CAT.6 BLINDADO,cables,15.14513,,,,,
JACK FURUKAWA RJ45 HEMBRA CAT.6 GIGALAN T568A/B BL,cables,9.34362,,,,,
JACK FURUKAWA RJ45 HEMBRA CAT.6 GIGALAN T568A/B NG,cables,9.34362,,,,,
JACK FURUKAWA RJ45 HEMBRA CAT.6 PREMIUM BL,cables,11.608025,,,,,
JACK FURUKAWA RJ45 HEMBRA CAT.6A BLINDADO AUG. BL,cables,19.86127,,,,,
JACK HUBBELL CATEGORIA 6A 8POS BLISTER X24 UNID.,cables,92.39802,,,,,
JACK HUBBELL HJ6A CAT6A UNI WH,cables,4.3923,,,,,
JACK RJ45 HEMBRA CAT.5 GLC 110 IDC A/B  BLANCO,cables,3.71349,,,,,
JACK RJ45 HEMBRA CAT.5 GLC 110 IDC A/B NEGRO,cables,2.75517,,,,,
JACK RJ45 HEMBRA CAT.6 GLC 110 IDC A/B  BLANCO,cables,4.5254,,,,,
JC61-04450A   STACKER-MAIN,001-0455, ML-2165,,accesorios,,,
JUEGO XBOX 360 MICROSOFT FABLE: THE JOURNEY,gamer,2.19615,,,,,
JUEGO XBOX ONE MICROSOFT RYSE GOTY (CAJA ROTA),gamer,28.73629,,,,,
KEY UPGRADE LENOVO RAID 5 M1200 ZERO CACHE,redes,91.50625,,,,,
KEY UPGRADE LENOVO RAID 5 M5100 ZERO CACHE,redes,113.135,,,,,
KIOSKO INTERACTIVO SERIE ATRIA,accesorios,3555.43375,,,,,
KIT ACCESORIOS PARA MINI TORNO GRALF,electro,60.60043,,,,,
KIT ADAPTADOR SAS IBM (EXTERNAL ENCLOSURE),accesorios,94.20125,,,,,
Kit de captura de im�genes en NyC Pack x 4 (700Z5),impresion,201.47347,,,,,
"KIT DE ENSAMBLE IBM 3 x 2,5 in HS HDD X3250M5",accesorios,33.275,,,,,
"KIT DE ENSAMBLE IBM 4 x 3,5 in HS HDD X3300M4",accesorios,104.836875,,,,,
"KIT DE ENSAMBLE IBM 8 x 2,5 in HS HDD X3500M4",accesorios,294.00514,,,,,
"KIT DE ENSAMBLE IBM 8 x 2,5 in HS HDD X3650M5",accesorios,686.7575,,,,,
KIT DE ENSAMBLE IBM 8 x 2.5 in HDD X3650M4,accesorios,116.991875,,,,,
Kit de montaje Aruba AP-220-MNT-W1W HPE,accesorios,22.3608,,,,,
Kit de montaje Aruba AP-270-MNT-H1,accesorios,195.28432,,,,,
KIT DE MONTAJE Aruba AP-MNT-A AP individual A,accesorios,26.99268,,,,,
KIT DE MONTAJE Aruba AP-MNT-W4 Low Profile Basic,accesorios,44.53526,,,,,
KIT DE MONTAJE RACK IBM 3572,accesorios,134.9205,,,,,
KIT DE RACK - APC EASY UPS 700MM,electro,99.46563,,,,,
KIT DE RACK - APC EASY UPS 900MM,electro,127.65621,,,,,
Kit de Rack Aruba X414 1U Universal 4-post RM,accesorios,274.277575,,,,,
Kit de ruedas EVO2  800 (B),electro,213.11972,,,,,
KIT DE RUEDAS GABITEL EVO2 1000,electro,271.3909,,,,,
KIT DE RUEDAS GABITEL EVO3/04  600/800/1000,electro,175.99813,,,,,
KIT FURUKAWA  ADAPTADORES FO 02F MM LC-PC X3 BEIGE,cables,17.75554,,,,,
KIT FURUKAWA 3X PANEL  8 POS. LC/SC LGX - PLASTICO,cables,14.16184,,,,,
KIT FURUKAWA 3X PANEL 12 POS. LC/SC LGX - PLASTICO,cables,14.16184,,,,,
KIT FURUKAWA FO BANDEJA DE EMPALME STACK 12F,cables,35.28481,,,,,
KIT FURUKAWA FO BANDEJA DE EMPALME STACK 24F,cables,55.43615,,,,,
KIT FURUKAWA FO BANDEJA DE EMPALME STACK 48F,cables,96.00503,,,,,
KIT FUSOR HP C4197A 110V P/HP 4500/4550,accesorios,313.757015,,,,,
KIT FUSOR HP C9726A P/HP CLJ 4600,accesorios,371.152925,,,,,
KIT HPE DL380 Gen9 Bay1 Cage/Bkpln Kit,accesorios,248.071395,,,,,
KIT HPE RPS Enablement ML110 Gen9,accesorios,148.0479,,,,,
KIT INSTALACION TAPE DRIVE IBM X3630M4,accesorios,70.9852,,,,,
KIT INSTALACION TAPE DRIVE IBM X3650M4,accesorios,79.44508,,,,,
KIT Keyboard/Mouse US HPE USB,accesorios,34.13124,,,,,
KIT RACK QNAP B01,accesorios,254.80664,,,,,
KIT RACK QNAP B02,electro,226.77578,,,,,
KIT SCREEN CLEAN,accesorios,4.16603,,,,,
LAMPARA HSI-T 250W E40,cables,0.63888,,,,,
LAMPARA LED SCHNEIDER E. 1.2W CON PANEL SOLAR,cables,95.67228,,,,,
LANTASTIC 7.0 (1 USUARIO),accesorios,117.56723,,,,,
LANTASTIC SERVER DEDICATED (10 USUARIOS),accesorios,333.24247,,,,,
LATIN SP KB    - 71GUL8482-10 -,accesorios,27.57832,,,,,
LAVARROPA SAMSUNG WA80F5S4UDW 8.0 KG SILVER,electro,786.95375,,,,,
LC BROTHER HL-L8360CDW 33PPM WIF + 2 JUEGO TONER,impresion,2721.759755,,,,,
LC BROTHER HL-L8360CDW 33PPM WIFI DUPLEX,impresion,1362.64843,,,,,
LECTOR HONEYWELL 1250G USB BLACK 1D C/BASE,electro,124.284875,,,,,
LECTOR HONEYWELL 1472G 2D BT BLACK USB WIRELESS,electro,382.311215,,,,,
LECTOR OCOM OCBS-T214 USB 1D-2D OMNI-DIRECCIONAL,electro,148.21807,,,,,
Lenovo ThinkServer 1U 4-Post Slide Rail Kit RD350,accesorios,158.05625,,,,,
LENOVO THINKSERVER SYSTEM MANAGER PREMIUM,accesorios,36.6025,,,,,
LENOVO USB Memory Key for VMware ESXi 5.5,accesorios,30.84939,,,,,
LENTES 3D NVIDIA,electro,341.22847,,,,,
LEXMARK FLASH 32MB 1021208,impresion,155.8271,,,,,
LEXMARK FLASH 64MB 1021209,impresion,78.338975,,,,,
LEXMARK IPDS W840 25A0032,impresion,206.015095,,,,,
LIBRERIA HPE MSL2024 0-Drive Tape,accesorios,3081.523445,,,,,
LICUADORA DE PIE SMARTLIFE SL-BL1055PN,electro,71.06209,,,,,
LICUADORA SMARTLIFE SL-BL1008BPN  1.5LTS NEGRA,electro,48.55488,,,,,
LICUADORA SMARTLIFE SL-BL1008WPN  1.5LTS BLANCA,electro,50.48483,,,,,
LIMPIA CD TOALLAS X100 ALLSOP -50200-,accesorios,11.93907,,,,,
LIMPIA CD TOALLAS X20 ALLSOP -50100-,accesorios,4.77829,,,,,
LIMPIA DAT 8MM IMATION,accesorios,18.147415,,,,,
LN BROTHER HL-1212W 21PPM WIFI (I) + TONER TN-1060,impresion,406.02562,,,,,
LN HP PRO 4003DW 42 PPM EPRINT 2Z610A,impresion,474.397495,,,,,
LTO HPE Ultrium Universal Cleaning Cartridge,accesorios,110.15356,,,,,
LTO-8 HPE Ultrium 30750 Ext Tape Drive,accesorios,6419.359375,,,,,
LTO-9 HPE 45TB RW Data Cartridge,accesorios,294.47044,,,,,
MALETIN P/ NB DCELL 15.6 PRO RIB NEGRO-ROJO C/BOL,accesorios,1.62382,,,,,
MANOS LIBRES CX502E,accesorios,2.80841,,,,,
MANUAL P/NB CX,accesorios,0.19965,,,,,
MARTILLO PERCUTOR HITACHI PTID 24PC3,electro,190.333,,,,,
MARTILLO PERCUTOR HITACHI PTID 30PC2,electro,329.4225,,,,,
MB + CPU AMD RYZEN 5+ 4700S + RAM 16G MINI ITX,pc,348.24075,,,,,
MB + CPU ECS INTEL CELERON GLKD-I2-N4020  M-ITX,pc,146.00586,,,,,
MB + CPU GIGABYTE CELERON N5105I H BOX SERIE M-ITX,pc,184.46428,,,,,
MB ASUS AM4 PRIME A320M-K BOX M-ATX,mother,100.874345,,,,,
MB ASUS AM4 PRIME B450M-A II BOX M-ATX,mother,177.864115,,,,,
MB ASUS AM4 ROG STRIX B550-A GAMING BOX ATX,mother,504.38388,,,,,
MB ASUS S1200 PRIME B560M-A BOX M-ATX,mother,235.478815,,,,,
MB ASUS S1700 PRIME H610M-K D4 BOX M-ATX,mother,218.218715,,,,,
MB ASUS S1700 TUF GAMING Z690-PLUS WIFI D4 BOX ATX,mother,810.0092,,,,,
MB ECS AM4 A520AM4-M3D BOX M-ATX,mother,132.7326,,,,,
MB ECS AM4 B450AM4-M BOX M-ATX,mother,144.826825,,,,,
MB ECS S1200 H510H6-M2 BOX M-ATX,mother,123.88376,,,,,
MB ECS S1700 H610H7-M2 BOX M-ATX,mother,150.43028,,,,,
MB GIGABYTE AM4 GA-A320M-H BOX M-ATX,mother,117.73333,,,,,
MB GIGABYTE AM4 X570S AORUS ELITE AX BOX ATX,mother,690.148745,,,,,
MB GIGABYTE S1200 B560 AORUS PRO AX BOX ATX,mother,414.254555,,,,,
MB GIGABYTE S1200 H470M DS3H BOX M-ATX,mother,266.87518,,,,,
MB GIGABYTE S1200 H510M H BOX M-ATX,mother,161.92891,,,,,
MB GIGABYTE S1200 H510M S2H V2 BOX M-ATX,mother,183.17585,,,,,
MB GIGABYTE S1700 B660M AORUS PRO DDR4 BOX M-ATX,mother,465.281245,,,,,
MB GIGABYTE S1700 H610M H DDR4 BOX M-ATX,mother,163.788625,,,,,
MB GIGABYTE S1700 H610M S2H DDR4 BOX M-ATX,mother,172.515915,,,,,
MB GIGABYTE S1700 Z690 AERO D BOX ATX,mother,1026.17372,,,,,
MB GIGABYTE S1700 Z690 AERO G DDR4 BOX,mother,696.493655,,,,,
MB GIGABYTE S1700 Z690 AORUS ELITE AX DDR4 BOX ATX,mother,743.484885,,,,,
MB GIGABYTE S1700 Z690 GAMING X DDR4 BOX,mother,563.60304,,,,,
MB GIGABYTE S1700 Z690 UD AX DDR4 BOX,mother,539.621225,,,,,
MB GIGABYTE S1700 Z690 UD DDR4 BOX ATX,mother,491.657595,,,,,
MB INTEL S845WD11U SERVER 1U V+R AGP RAID ATA,accesorios,46.614425,,,,,
MB INTEL SE7501WV2ATA  DUAL XEON,accesorios,39.50375,,,,,
MB INTEL SE7501WV2ATA  DUAL XEON (EXPO),accesorios,102.70975,,,,,
MB INTEL SE7501WV2SCSI DUAL XEON,accesorios,31.603,,,,,
MB INTEL SE7501WV2SCSI DUAL XEON (EXPO),accesorios,31.603,,,,,
MB MSI AM4 A520M-A PRO BOX M-ATX,mother,138.044335,,,,,
MB MSI S1200 H510M PRO-E BOX M-ATX,mother,148.65565,,,,,
MB MSI S1200 H510M-A PRO BOX M-ATX,mother,164.833955,,,,,
MB MSI S1200 MAG B560M BAZOOKA BOX M-ATX,mother,269.488505,,,,,
MB MSI S1200 MEG Z590 ACE BOX ATX,mother,343.15996,,,,,
MB MSI S1700 MAG Z690 TOMAHAWK WIFI DDR4 BOX,mother,694.086965,,,,,
MB MSI S1700 MEG Z690 UNIFY BOX ATX,mother,966.41974,,,,,
MB MSI S1700 PRO H610M-G DDR4 BOX M-ATX,mother,177.463,,,,,
MB MSI S1700 PRO Z690-A WIFI DDR4 BOX,mother,484.461835,,,,,
MC.AFEE FIREWALL 1.0,accesorios,38.55907,,,,,
MEDIA CONNECTOR LINKSYS WUMC710 802.11N & AC(5GHZ),redes,56.022395,,,,,
MEDIDOR DE DISTANCIA GRALF LASER,electro,83.565625,,,,,
MEDIDOR DE SOLIDOS EN AGUA GRALF,electro,15.81228,,,,,
MF BROTHER DCP-T220 28/11PPM SIST CONT + TINTAS,impresion,466.18275,,,,,
MF BROTHER DCP-T220 28/11PPM SIST CONTINUO,impresion,419.1319,,,,,
MF BROTHER DCP-T220 28/11PPM SIST CONTINUO (I),impresion,419.1319,,,,,
MF BROTHER DCP-T420W 28/11PPM SIST CON (CAJA DA�A),impresion,513.35339,,,,,
MF BROTHER DCP-T420W 28/11PPM SIST CONT + TINTAS,impresion,543.92646,,,,,
MF BROTHER DCP-T420W 28/11PPM SIST CONTINUO,impresion,526.86304,,,,,
MF BROTHER DCP-T420W 28/11PPM SIST CONTINUO (I),impresion,496.87561,,,,,
MF BROTHER DCP-T720DW 30/26PPM SIST CONTINUO,impresion,619.8467,,,,,
MF BROTHER DCP-T820DW 30/26PPM SIST CONTINUO,impresion,828.21475,,,,,
MF CANON MULTIFUNCION G2110 SIST CONTINUO PIXMA,impresion,392.88458,,,,,
MF EPSON MONOCROMATICA M3170 S.CONT WIFI RED FAX,impresion,803.05885,,,,,
MF EPSON MULTIFUNCION L3210 + 4 INSUMOS EPSON,impresion,535.5944,,,,,
MF EPSON MULTIFUNCION L3210 SIST CONTINUO USB,impresion,466.68853,,,,,
MF EPSON MULTIFUNCION L3250 + 4 INSUMOS EPSON,impresion,631.57281,,,,,
MF EPSON MULTIFUNCION L3250 SIST CONTINUO WIFI,impresion,562.66694,,,,,
MF EPSON MULTIFUNCION MONOC M2120 SIST CONT WIFI,impresion,535.36813,,,,,
MFL BROTHER DCP-1617NW 21PPM WIFI,impresion,710.18167,,,,,
MFL BROTHER DCP-1617NW 21PPM WIFI (I),impresion,699.79987,,,,,
MFL BROTHER DCP-L5600DN 42PPM RED DUPLEX,impresion,1838.2441,,,,,
MFL BROTHER MFC-L2720DW 27PPM WIFI DUPLEX + TONER,impresion,1052.48825,,,,,
MFL BROTHER MFC-L2720DW 27PPM WIFI DUPLEX FAX,impresion,963.39111,,,,,
MFLC BROTHER MFC-L8900CDW 33PPM + 2 JUEGO TONER,impresion,3544.62603,,,,,
MICRO SD 32GB SANDISK ULTRA CLASE 10,memorias,12.67112,,,,,
MICROFONO CONDENSER KIT STREAM  BRAZO +FILTRO USB,accesorios,65.8845,,,,,
MICROFONO CONDENSER KIT STREAM BRAZO+FILTRO JACK,accesorios,63.888,,,,,
MICROFONO PRIMUS GAMING MIC ETHOS 300P USB,accesorios,132.88704,,,,,
MICROFONO TRUST GXT256 EXXO USB RGB,auriculares,157.44399,,,,,
MICROONDAS ATMA 20L ROTATIVO MR1720,electro,170.2349,,,,,
MICROONDAS ATMA 23L CON GRILL MD1723,electro,251.4259,,,,,
MICROONDAS ATMA 23L CON GRILL MD1823,electro,273.69353,,,,,
MICROONDAS ATMA 28L CON GRILL MD1728,electro,263.07215,,,,,
MICROONDAS ATMA 28L CON GRILL MD1828,electro,317.94928,,,,,
MICROONDAS PHILCO 20L DIGITAL MOD8620,electro,180.69656,,,,,
MICROONDAS PHILCO 20L ROTATIVO MPR8520,electro,166.30845,,,,,
MICROONDAS SAMSUNG 23L BLACK,electro,228.89207,,,,,
MICROONDAS SAMSUNG CERAMICO 20L BLANCO,electro,244.58456,,,,,
MICROONDAS SAMSUNG CERAMICO 20L NEGRO,electro,240.87107,,,,,
MICROONDAS SAMSUNG GRILL 28L  HOT BLAST BLACK,electro,435.66292,,,,,
MICROONDAS SAMSUNG GRILL 32LT MC32K7055CT,electro,505.60697,,,,,
MINI TORNO GRALF CON 114 ACCESORIOS,electro,83.67997,,,,,
MINI TORNO GRALF CON 40 ACCESORIOS,electro,66.31042,,,,,
MINICOMPONENTE SMARTLIFE SL-HF100,electro,262.55306,,,,,
MINICOMPONENTE SMARTLIFE SL-HF360,electro,375.0758,,,,,
